ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
MWR,small_airport,Motswari Airport,1160,AF,ZA,ZA-MP,Motswari Private Game Reserve,,MWR,,"31.3864, -24.1903"
MXC,small_airport,Monticello Airport,6966,NA,US,US-UT,Monticello,,MXC,U64,"-109.341225, 37.93243"
MXK,small_airport,Mindik Airport,4200,OC,PG,PG-MPL,Mindik,AYMI,MXK,MIK,"147.441138889, -6.47166666667"
MXR,small_airport,Moussoro Airport,984,AF,TD,TD-KA,Moussoro,,MXR,,"16.501386, 13.645663"
MY00,small_airport,Sieg's Farm Airport,1060,NA,US,US-MN,Truman,MY00,,MY00,"-94.493896484375, 43.894100189208984"
MY01,small_airport,Roan Airport,860,NA,US,US-MN,Warren,MY01,,MY01,"-96.75260162353516, 48.14580154418945"
MY04,small_airport,Koch's Personal Field,1130,NA,US,US-MN,Taunton,MY04,,MY04,"-96.03730010986328, 44.65999984741211"
MY06,small_airport,Ramerth Airport,1500,NA,US,US-MN,Fulda,MY06,,MY06,"-95.5552978515625, 43.83140182495117"
MY07,small_airport,Nord Field,948,NA,US,US-MN,Wolverton,MY07,,MY07,"-96.60649871826172, 46.58330154418945"
MY10,small_airport,Deters Farms Airport,1220,NA,US,US-MN,Spring Grove,MY10,,MY10,"-91.68150329589844, 43.561100006103516"
MY11,small_airport,Gilgenbach's Airport,1320,NA,US,US-MN,Taopi,MY11,,MY11,"-92.65850067138672, 43.521400451660156"
MY12,small_airport,Dykstra Acreage Airport,1690,NA,US,US-MN,Trosky,MY12,,MY12,"-96.25309753417969, 43.88079833984375"
MY15,small_airport,Kastanek Airport,1320,NA,US,US-MN,Pierz,MY15,,MY15,"-93.9894027709961, 45.9557991027832"
MY17,small_airport,Swanson Private Airport,1170,NA,US,US-MN,Goodridge,MY17,,MY17,"-95.77469635009766, 48.08890151977539"
MY18,small_airport,Lino Air Park,907,NA,US,US-MN,Lino Lakes,MY18,,MY18,"-93.13050079345703, 45.187198638916016"
MY19,small_airport,Schwenk Airport,1082,NA,US,US-MN,Murdock,MY19,,MY19,"-95.39250183105469, 45.170799255371094"
MY24,small_airport,Falk Private Airport,1443,NA,US,US-MN,Park Rapids,MY24,,MY24,"-95.05220031738281, 46.86220169067383"
MY25,small_airport,Knapp Personal Use Airport,1018,NA,US,US-MN,Foxhome,MY25,,MY25,"-96.33149719238281, 46.279998779296875"
MY28,small_airport,Pinetree Airpark,930,NA,US,US-MN,Harris,MY28,,MY28,"-92.96309661865234, 45.57979965209961"
MY35,small_airport,Walker Field,902,NA,US,US-MN,Afton,MY35,,MY35,"-92.81770324707031, 44.93349838256836"
MY37,small_airport,Thomas Field,1285,NA,US,US-MN,Eyota,MY37,,MY37,"-92.246554, 43.981076"
MY42,small_airport,Mathis Airport,1170,NA,US,US-MN,Gonvick,MY42,,MY42,"-95.5270004272461, 47.863800048828125"
MY43,small_airport,Becker Personal Airport,920,NA,US,US-MN,St Francis,MY43,,MY43,"-93.38939666748047, 45.4026985168457"
MY46,small_airport,Hay Shakers Airport,995,NA,US,US-MN,Nicollet,MY46,,MY46,"-94.21330261230469, 44.27920150756836"
MY47,small_airport,Guggenberger Airport,1050,NA,US,US-MN,Sartell,MY47,,MY47,"-94.21080017089844, 45.604698181152344"
MY50,small_airport,Frontenac Airport,793,NA,US,US-MN,Frontenac,MY50,,MY50,"-92.36129760742188, 44.50270080566406"
MY52,small_airport,Turkey Track Airport,923,NA,US,US-MN,Coates,MY52,,MY52,"-93.04409790039062, 44.71860122680664"
MY54,small_airport,Cloverleaf-East Bemidji Airport,1445,NA,US,US-MN,Bemidji,MY54,,MY54,"-94.81220245361328, 47.43830108642578"
MY55,small_airport,B I R Airport,1210,NA,US,US-MN,,MY55,,MY55,"-94.27529907226562, 46.419700622558594"
MY56,small_airport,Robertson Field,1290,NA,US,US-MN,Hibbing,MY56,,MY56,"-92.8593978881836, 47.25239944458008"
MY57,small_airport,Fedor Airport,1175,NA,US,US-MN,Holdingford,MY57,,MY57,"-94.4574966430664, 45.763301849365234"
MY58,small_airport,Home-Base Airport,1020,NA,US,US-MN,Holloway,MY58,,MY58,"-95.92530059814453, 45.238800048828125"
MY59,small_airport,Gasper Airport,910,NA,US,US-MN,Euclid,MY59,,MY59,"-96.61229705810547, 47.9015998840332"
MY60,small_airport,Hagen Airport,1370,NA,US,US-MN,Richville,MY60,,MY60,"-95.61979675292969, 46.50270080566406"
MY62,small_airport,"Ultraflyte, Inc Ultralightport",1270,NA,US,US-MN,Jenkins,MY62,,MY62,"-94.34329986572266, 46.665199279785156"
MY64,small_airport,Schjeldrup Airport,903,NA,US,US-MN,Felton,MY64,,MY64,"-96.60230255126953, 47.03110122680664"
MY66,small_airport,North Star Ranch Airport,1330,NA,US,US-MN,Onamia,MY66,,MY66,"-93.84719848632812, 46.070499420166016"
MY68,small_airport,Johnsons Aero Repair Airport,1028,NA,US,US-MN,Wheaton,MY68,,MY68,"-96.39140319824219, 45.777198791503906"
MY71,small_airport,Mueller Airport,880,NA,US,US-MN,Georgetown,MY71,,MY71,"-96.78060150146484, 47.126399993896484"
MY72,small_airport,Isle Private Airport,1271,NA,US,US-MN,Isle,MY72,,MY72,"-93.4613037109375, 46.159698486328125"
MY78,small_airport,Sunrise Airport,910,NA,US,US-MN,Stacy,MY78,,MY78,"-92.98629760742188, 45.429100036621094"
MY80,small_airport,Rosenberg Airport,1255,NA,US,US-MN,Ceylon,MY80,,MY80,"-94.5824966430664, 43.52220153808594"
MY82,small_airport,Du Fresne Airport,900,NA,US,US-MN,Forest Lake,MY82,,MY82,"-93.07469940185547, 45.2130012512207"
MY88,small_airport,Cary Airport,1413,NA,US,US-MN,Park Rapids,MY88,,MY88,"-94.98310089111328, 46.85749816894531"
MY89,small_airport,Pavek Personal Airport,980,NA,US,US-MN,Pine City,MY89,,MY89,"-92.90579986572266, 45.90829849243164"
MY90,small_airport,Al's Due North Airport,915,NA,US,US-MN,North Branch,MY90,,MY90,"-92.9885025024414, 45.482200622558594"
MY92,small_airport,Grohnke Field,960,NA,US,US-MN,Braham,MY92,,MY92,"-93.28829956054688, 45.728599548339844"
MY94,small_airport,Country Haven Airport,1309,NA,US,US-MN,Cloquet,MY94,,MY94,"-92.41919708251953, 46.752498626708984"
MY95,small_airport,Swanson Field,935,NA,US,US-MN,Crown,MY95,,MY95,"-93.38279724121094, 45.4463996887207"
MY97,small_airport,Nielsen's Airport,990,NA,US,US-MN,Farmington,MY97,,MY97,"-93.12689971923828, 44.597999572753906"
MY98,small_airport,Pake Airport,898,NA,US,US-MN,Felton,MY98,,MY98,"-96.66560363769531, 47.045501708984375"
MY99,small_airport,Johnston Airport,1360,NA,US,US-MN,Hawley,MY99,,MY99,"-96.23519897460938, 46.85749816894531"
MYA0,small_airport,Moores Island Airport,16,NA,BS,BS-SP,Moore's Island,MYAO,,MYAO,"-77.561331, 26.317729"
MYAB,medium_airport,Clarence A. Bain Airport,19,NA,BS,BS-KB,Mangrove Cay,MYAB,MAY,,"-77.68460083007812, 24.287700653076172"
MYAF,medium_airport,Andros Town Airport,5,NA,BS,BS-NB,,MYAF,ASD,,"-77.79560089111328, 24.697900772094727"
MYAK,medium_airport,Congo Town Airport,15,NA,BS,BS-KB,Andros,MYAK,TZN,COX,"-77.589798, 24.158701"
MYAM,medium_airport,Leonard M Thompson International Airport,6,NA,BS,BS-MH,Marsh Harbour,MYAM,MHH,,"-77.083503, 26.5114"
MYAN,medium_airport,San Andros Airport,5,NA,BS,BS-NB,Andros Island,MYAN,SAQ,,"-78.04900360107422, 25.053800582885742"
MYAP,medium_airport,Spring Point Airport,11,NA,BS,BS-AC,Spring Point,MYAP,AXP,,"-73.97090148930002, 22.441799163800003"
MYAS,small_airport,Sandy Point Airport,8,NA,BS,BS-SP,,MYAS,,,"-77.39550018310547, 26.004600524902344"
MYAT,medium_airport,Treasure Cay Airport,8,NA,BS,BS-MH,Treasure Cay,MYAT,TCB,,"-77.3912963867, 26.745300293"
MYAW,small_airport,Abaco I Walker C Airport,10,NA,BS,BS-GT,,MYAW,WKR,,"-78.39969635009766, 27.266700744628906"
MYAX,small_airport,Spanish Cay Airport,10,NA,BS,BS-GT,,MYAX,,,"-77.5438003540039, 26.950300216674805"
MYBC,medium_airport,Chub Cay Airport,5,NA,BS,BS-NB,,MYBC,CCZ,,"-77.88089752197266, 25.41710090637207"
MYBG,medium_airport,Great Harbour Cay Airport,18,NA,BS,BS-NB,Bullocks Harbour,MYBG,GHC,,"-77.840103, 25.7383"
MYBO,small_airport,Ocean Cay Airport,5,NA,BS,BS-BI,Ocean Cay,MYBO,,,"-79.209471, 25.422916"
MYBS,medium_airport,South Bimini Airport,10,NA,BS,BS-BI,South Bimini,MYBS,BIM,,"-79.2647018433, 25.6998996735"
MYCA,medium_airport,Arthur's Town Airport,18,NA,BS,BS-CI,Arthur's Town,MYCA,ATC,,"-75.673797, 24.6294"
MYCB,medium_airport,New Bight Airport,5,NA,BS,BS-CI,Cat Island,MYCB,TBI,,"-75.452301, 24.3153"
MYCC,small_airport,Cat Cay Airport,14,NA,BS,BS-BI,North Cat Cay,MYCC,CXY,,"-79.275151, 25.554555"
MYCH,small_airport,Hawks Nest Airport,3,NA,BS,BS-CI,Hawks Nest Creek,MYCH,,,"-75.519182, 24.154305"
MYCI,medium_airport,Colonel Hill Airport,5,NA,BS,BS-AC,Colonel Hill,MYCI,CRI,,"-74.1824035645, 22.745599746699998"
MYCP,small_airport,Pitts Town Airport,,NA,BS,BS-AC,Pitts Town,MYCP,PWN,,"-74.34609985351562, 22.829700469970703"
MYCS,small_airport,Cay Sal Airport,3,NA,BS,BS-BI,Cay Sal,MYCS,,,"-80.32129669189453, 23.696399688720703"
MYCX,small_airport,Cutlass Bay Airport,3,NA,BS,BS-CI,Cutlass Bay,MYCX,,,"-75.39810180664062, 24.14889907836914"
MYEF,medium_airport,Exuma International Airport,9,NA,BS,BS-EX,George Town,MYEF,GGT,,"-75.8779983521, 23.5625991821"
MYEG,medium_airport,George Town Airport,5,NA,BS,BS-EX,George Town,MYEG,,,"-75.78170013430001, 23.4666996002"
MYEH,medium_airport,North Eleuthera Airport,13,NA,BS,BS-HI,North Eleuthera,MYEH,ELH,,"-76.6835021973, 25.474899292"
MYEL,small_airport,Lee Stocking Airport,,NA,BS,BS-EX,Lee Stocking,MYEL,,,"-76.10359954833984, 23.77560043334961"
MYEM,medium_airport,Governor's Harbour Airport,26,NA,BS,BS-GH,Governor's Harbour,MYEM,GHB,,"-76.3310012817, 25.2847003937"
MYEN,medium_airport,Normans Cay Airport,8,NA,BS,BS-EX,,MYEN,NMC,,"-76.82019805908203, 24.59429931640625"
MYER,medium_airport,Rock Sound Airport,10,NA,BS,BS-RS,Rock Sound,MYER,RSD,,"-76.1768817902, 24.8950787333"
MYES,medium_airport,Staniel Cay Airport,5,NA,BS,BS-EX,,MYES,TYM,,"-76.43910217285156, 24.169099807739258"
MYEY,small_airport,Hog Cay Airport,,NA,BS,BS-EX,Hog Cay,MYEY,,,"-75.49690246582031, 23.397199630737305"
MYGD,small_airport,Deep Water Cay Airport,,NA,BS,BS-HR,Deep Water Cay,MYGD,,,"-77.92169952392578, 26.63170051574707"
MYGF,medium_airport,Grand Bahama International Airport,7,NA,BS,BS-FP,Freeport,MYGF,FPO,,"-78.695602417, 26.5587005615"
MYGW,small_airport,West End Airport,5,NA,BS,BS-FP,West End,MYGW,WTD,,"-78.97499847410002, 26.685300827"
MYIG,medium_airport,Inagua Airport,8,NA,BS,BS-IN,Matthew Town,MYIG,IGA,,"-73.66690063476562, 20.975000381469727"
MYK,small_airport,May Creek Airport,1650,NA,US,US-AK,May Creek,MYK,MYK,MYK,"-142.68699646, 61.3357009888"
MYLD,medium_airport,Deadman's Cay Airport,9,NA,BS,BS-LI,Deadman's Cay,MYLD,LGI,,"-75.09359741210001, 23.1790008545"
MYLR,medium_airport,Hard Bargain Airport,,NA,BS,BS-LI,,MYLR,,,"-74.905889, 23.011194"
MYLS,medium_airport,Stella Maris Airport,10,NA,BS,BS-LI,Stella Maris,MYLS,SML,,"-75.268621, 23.582317"
MYMM,medium_airport,Mayaguana Airport,11,NA,BS,BS-MG,Abrahams Bay,MYMM,MYG,,"-73.013494, 22.379499"
MYNN,large_airport,Lynden Pindling International Airport,16,NA,BS,BS-NP,Nassau,MYNN,NAS,,"-77.466202, 25.039"
MYRD,medium_airport,Duncan Town Airport,6,NA,BS,BS-RI,,MYRD,DCT,,"-75.72949981689453, 22.181800842285156"
MYRP,small_airport,Rum Cay Airport,15,NA,BS,BS-SR,,MYRP,RCY,,"-74.83619689941406, 23.68440055847168"
MYS,small_airport,Moyale Airport,3887,AF,ET,ET-OR,Moyale,,MYS,,"39.0433, 3.5623"
MYSM,medium_airport,San Salvador Airport,24,NA,BS,BS-SR,San Salvador,MYSM,ZSA,,"-74.52400207519531, 24.06329917907715"
MYX,small_airport,Menyamya Airport,3880,OC,PG,PG-MPL,Menyamya,AYMC,MYX,MYY,"146.019361111, -7.21166666667"
MYX4,small_airport,Big Whale Cay Airport,16,NA,BS,BS-NB,Big Whale Cay,MYBW,,,"-77.791, 25.399599"
MYX5,small_airport,Cistern Field,18,NA,BS,BS-NB,Cistern Cay,MYBT,,,"-77.885201, 25.7787"
MYX7,small_airport,Rudder Cut Cay Airport,10,NA,BS,BS-EX,Rudder Cut Cay,MYX7,,MYX7,"-76.25370025634766, 23.88640022277832"
MYX8,small_airport,Darby Island Airport,5,NA,BS,BS-EX,Darby Island,MYX8,,MYX8,"-76.22820281982422, 23.850299835205078"
MYXC,small_airport,Hog Key Airport,5,NA,BS,BS-LI,Long Island,MYXC,,MYXC,"-75.33930206298828, 23.60070037841797"
MYXD,small_airport,Leaf Cay Airport,,NA,BS,BS-EX,Leaf Cay,MYXD,,,"-76.46640014648438, 24.149200439453125"
MYXH,small_airport,Sampson Cay Airport,8,NA,BS,BS-EX,Sampson Cay,MYXH,,MYXH,"-76.47850036621094, 24.215999603271484"
MYZ3,small_airport,Little Whale Cay Berry Islands Airport,5,NA,BS,BS-NB,Little Whale Cay,MYBX,,MYZ3,"-77.761703, 25.441799"
MZBZ,large_airport,Philip S. W. Goldson International Airport,15,NA,BZ,BZ-BZ,Belize City,MZBZ,BZE,,"-88.30819702148438, 17.539100646972656"
MZE,small_airport,Manatee Airport,343,NA,BZ,BZ-CY,,,MZE,,"-89.0238, 17.27846"
N05,small_airport,Hackettstown Airport,670,NA,US,US-NJ,Hackettstown,N05,,N05,"-74.8552017211914, 40.820098876953125"
N07,small_airport,Lincoln Park Airport,182,NA,US,US-NJ,Lincoln Park,N07,,N07,"-74.31449890136719, 40.9474983215332"
N08,small_airport,Flanagan Field,75,NA,US,US-NC,Farmville,N08,,N08,"-77.56060028076172, 35.55670166015625"
N10,small_airport,Perkiomen Valley Airport,277,NA,US,US-PA,Collegeville,N10,,N10,"-75.4302978515625, 40.20399856567383"
N15,small_airport,Kingston Airport,5950,NA,US,US-NV,Kingston,N15,,N15,"-117.06400299072266, 39.20309829711914"
N16,small_airport,Centre Airpark,1307,NA,US,US-PA,Centre Hall,N16,,N16,"-77.6572036743164, 40.81169891357422"
N17,small_airport,Vaughn Municipal Airport,5928,NA,US,US-NM,Vaughn,N17,,N17,"-105.191822, 34.60458"
N20,small_airport,Ine Airport,4,OC,MH,MH-ARN,Arno Atoll,,IMI,N20,"171.656959, 7.005553"
N21,small_airport,Holly Ridge/Topsail Island Airport,40,NA,US,US-NC,Holly Ridge,,,N21,"-77.531094, 34.491001"
N22,small_airport,Sky Manor Airport,60,NA,US,US-NC,Jacksonville,N22,,N22,"-77.59220123291016, 34.716800689697266"
N25,small_airport,Blue Heron Airport,1200,NA,US,US-NY,Gallupville,N25,,N25,"-74.19960021972656, 42.69729995727539"
N26,small_airport,Derby Aerodrome,517,NA,US,US-NC,Pinehurst,N26,,N26,"-79.6313, 35.1332"
N29,small_airport,Magdalena Airport,6727,NA,US,US-NM,Magdalena,N29,,N29,"-107.2979965209961, 34.09450149536133"
N30,small_airport,Cherry Ridge Airport,1357,NA,US,US-PA,Honesdale,N30,,N30,"-75.25150299072266, 41.51530075073242"
N31,small_airport,Kutztown Airport,512,NA,US,US-PA,Kutztown,N31,,N31,"-75.78710174560547, 40.50339889526367"
N41,small_airport,Waterbury Airport,850,NA,US,US-CT,Waterbury,N41,,N41,"-73.04679870605469, 41.633399963378906"
N42,small_airport,Shippensburg Airport,760,NA,US,US-PA,Shippensburg,N42,,N42,"-77.46219635009766, 40.05839920043945"
N43,small_airport,Braden Airpark,399,NA,US,US-PA,Easton,N43,,N43,"-75.2428970336914, 40.7421989440918"
N45,small_airport,Kobelt Airport,420,NA,US,US-NY,Wallkill,N45,,N45,"-74.13379669189453, 41.627899169921875"
N50,small_airport,Li Calzi Airport,42,NA,US,US-NJ,Bridgeton,N50,,N50,"-75.23709869384766, 39.40840148925781"
N56,small_airport,Great Valley Airport,1450,NA,US,US-NY,Great Valley,N56,,N56,"-78.64720153808594, 42.205101013183594"
N61,small_airport,Hinshaw (Greenacres) Airport,750,NA,US,US-NC,Liberty,N61,,N61,"-79.52749633789062, 35.87369918823242"
N63,small_airport,Meadow Brook Field,631,NA,US,US-NC,Walnut Cove,N63,,N63,"-80.14839935302734, 36.30149841308594"
N65,small_airport,Knox Airport,1130,NA,US,US-NY,Quaker Street,N65,,N65,"-74.16400146484375, 42.72949981689453"
N72,small_airport,Warwick Municipal Airport,540,NA,US,US-NY,Warwick,N72,,N72,"-74.28710174560547, 41.287601470947266"
N74,small_airport,Penns Cave Airport,1260,NA,US,US-PA,Centre Hall,N74,,N74,"-77.60250091552734, 40.89030075073242"
N85,small_airport,Alexandria Airport,480,NA,US,US-NJ,Pittstown,N85,,N85,"-75.01940155029297, 40.58760070800781"
N86,small_airport,Spanish Springs Airport,4600,NA,US,US-NV,Reno,N86,,N86,"-119.7229995727539, 39.66659927368164"
N88,small_airport,Kecks Airport,724,NA,US,US-NC,Julian,N88,,N88,"-79.62750244140625, 35.92649841308594"
N92,small_airport,Laneys Airport,1025,NA,US,US-NC,Maiden,N92,,N92,"-81.11730194091797, 35.57429885864258"
N97,small_airport,Hiatt Airport,855,NA,US,US-NC,Thomasville,N97,,N97,"-80.10749816894531, 35.830101013183594"
NA01,small_airport,Jenson Airport,867,NA,US,US-ND,Reynolds,NA01,,NA01,"-97.00540161132812, 47.66830062866211"
NA02,small_airport,Saure Airport,870,NA,US,US-ND,Reynolds,NA02,,NA02,"-97.05480194091797, 47.70500183105469"
NA05,small_airport,Kraig Farms Airport,1060,NA,US,US-ND,Sheldon,NA05,,NA05,"-97.43560028076172, 46.61220169067383"
NA06,small_airport,Bouret Ranch Airport,1505,NA,US,US-ND,Sheyenne,NA06,,NA06,"-98.97260284423828, 47.86280059814453"
NA10,small_airport,Anderson Private Airport,1460,NA,US,US-ND,Starkweather,NA10,,NA10,"-99.03369903564453, 48.38059997558594"
NA12,small_airport,Johnson Private Airport,1920,NA,US,US-ND,Turtle Lake,NA12,,NA12,"-100.84200286865234, 47.43170166015625"
NA17,small_airport,Jacob Gust Airport,895,NA,US,US-ND,West Fargo,NA17,,NA17,"-96.92900085449219, 46.94269943237305"
NA20,small_airport,Hudson's Strip,1080,NA,US,US-ND,Wyndmere,NA20,,NA20,"-97.2573013305664, 46.24800109863281"
NA21,small_airport,Thompson Private Airport,1075,NA,US,US-ND,Wyndmere,NA21,,NA21,"-97.23619842529297, 46.22829818725586"
NA22,small_airport,Vernon Miller Private Airport,3102,NA,US,US-ND,Rhame,NA22,,NA22,"-103.7959976196289, 46.01250076293945"
NA33,small_airport,Ripplinger Strip,1600,NA,US,US-ND,Esmond,NA33,,NA33,"-99.9260025024414, 48.0010986328125"
NA38,small_airport,Sabbe Brothers Landing Strip,1572,NA,US,US-ND,Maddock,NA38,,NA38,"-99.42960357666016, 47.950599670410156"
NA39,small_airport,Dorbrinski Airport,2133,NA,US,US-ND,Makoti,NA39,,NA39,"-101.8550033569336, 47.89780044555664"
NA44,small_airport,Georgeson Farm Strip,1535,NA,US,US-ND,New Rockford,NA44,,NA44,"-99.15959930419922, 47.65420150756836"
NA55,small_airport,Hager Strip,1037,NA,US,US-ND,Barney,NA55,,NA55,"-97.01619720458984, 46.2661018371582"
NA60,small_airport,Dakota Airport,903,NA,US,US-ND,Grandin,NA60,,NA60,"-97.03839874267578, 47.23500061035156"
NA61,small_airport,Tachenko Strip,2686,NA,US,US-ND,Grassy Butte,NA61,,NA61,"-103.18900299072266, 47.29560089111328"
NA65,small_airport,Anderson Strip,890,NA,US,US-ND,Hoople,NA65,,NA65,"-97.62809753417969, 48.53139877319336"
NA75,small_airport,Lill Strip,1560,NA,US,US-ND,Bremen,NA75,,NA75,"-99.3904037475586, 47.67639923095703"
NA77,small_airport,Mc Gee Strip,3014,NA,US,US-ND,Rhame,NA77,,NA77,"-103.846000671, 45.9866981506"
NA81,small_airport,Central Valley Aviation Airport,920,NA,US,US-ND,Buxton,NA81,,NA81,"-97.08650207519531, 47.628299713134766"
NA90,small_airport,Circle Z Landing Strip,2000,NA,US,US-ND,Underwood,NA90,,NA90,"-101.2229995727539, 47.46670150756836"
NA92,small_airport,Roy Lohse Airport,2124,NA,US,US-ND,Alamo,NA92,,NA92,"-103.46600341796875, 48.5786018371582"
NBS,medium_airport,Changbaishan Airport,2874,AS,CN,CN-22,Baishan,ZYBS,NBS,,"127.602222, 42.066944"
NC00,small_airport,Moretz Riverside Landing Airport,326,NA,US,US-NC,Sanford,NC00,,NC00,"-79.193603515625, 35.560001373291016"
NC01,small_airport,Harvey Point Defense Testing Activity Airport,10,NA,US,US-NC,Hertford,NC01,,NC01,"-76.32710266113281, 36.09619903564453"
NC02,small_airport,Boomerang Airport,850,NA,US,US-NC,Harris,NC02,,NC02,"-81.86650085449219, 35.21260070800781"
NC03,small_airport,Darr Field,874,NA,US,US-NC,High Point,NC03,,NC03,"-79.98729705810547, 35.90850067138672"
NC05,small_airport,Bradford Field Airport,649,NA,US,US-NC,Huntersville,NC05,,NC05,"-80.7941970825, 35.4086990356"
NC06,small_airport,Elk River Airport,3468,NA,US,US-NC,Banner Elk,NC06,,NC06,"-81.89679718017578, 36.160400390625"
NC08,small_airport,Tusquittee Landing Airport,2000,NA,US,US-NC,Hayesville,NC08,,NC08,"-83.73629760742188, 35.08539962768555"
NC09,small_airport,Stoneriver Airport,820,NA,US,US-NC,Statesville,NC09,,NC09,"-80.77670288085938, 35.8838996887207"
NC10,small_airport,Nocarva Airport,275,NA,US,US-NC,Macon,NC10,,NC10,"-78.05799865722656, 36.54180145263672"
NC11,small_airport,Deck Airpark,338,NA,US,US-NC,Apex,NC11,,NC11,"-78.92469787597656, 35.74150085449219"
NC12,small_airport,Lee Creek Airport,3,NA,US,US-NC,Aurora,NC12,,NC12,"-76.78469848632812, 35.38959884643555"
NC13,small_airport,Yorks Field,571,NA,US,US-NC,Ramseur,NC13,,NC13,"-79.67060089111328, 35.75149917602539"
NC14,small_airport,Boone Inc Airport,3120,NA,US,US-NC,Boone,NC14,,NC14,"-81.6395034790039, 36.196800231933594"
NC15,small_airport,Raeford Rhyne Airpark,1140,NA,US,US-NC,Statesville,NC15,,NC15,"-80.97899627685547, 35.95709991455078"
NC16,small_airport,Brevard Airport,2125,NA,US,US-NC,Brevard,NC16,,NC16,"-82.72679901123047, 35.222599029541016"
NC17,small_airport,Wolf's Den Airport,10,NA,US,US-NC,Cedar Island,NC17,,NC17,"-76.30799865722656, 34.980201721191406"
NC19,small_airport,Propst Airport,621,NA,US,US-NC,Concord,NC19,,NC19,"-80.57559967041016, 35.39179992675781"
NC21,small_airport,Aero Plantation Airport,634,NA,US,US-NC,Weddington,NC21,,NC21,"-80.74839782714844, 34.991798400878906"
NC22,small_airport,Charles Field,185,NA,US,US-NC,Dunn,NC22,,NC22,"-78.5551986694336, 35.227500915527344"
NC25,small_airport,Gold Hill Airport,720,NA,US,US-NC,Gold Hill,NC25,,NC25,"-80.3112030029, 35.5089988708"
NC26,small_airport,Long Island Airpark,864,NA,US,US-NC,Catawba,NC26,,NC26,"-80.971705, 35.661718"
NC27,small_airport,Lower Creek Airport,1195,NA,US,US-NC,Lenoir,NC27,,NC27,"-81.49009704589844, 35.94459915161133"
NC29,small_airport,Bradley Field,795,NA,US,US-NC,China Grove,NC29,,NC29,"-80.59760284423828, 35.62009811401367"
NC30,small_airport,Miller Air Park,864,NA,US,US-NC,Mooresville,NC30,,NC30,"-80.74150085449219, 35.61399841308594"
NC31,small_airport,Quiet Acres Airport,740,NA,US,US-NC,Thomasville,NC31,,NC31,"-80.02420043945312, 35.76490020751953"
NC32,small_airport,Rivercliff Airport,690,NA,US,US-NC,Clemmons,NC32,,NC32,"-80.436402, 36.025799"
NC34,small_airport,Miles Airport,580,NA,US,US-NC,Chapel Hill,NC34,,NC34,"-79.12470245361328, 35.970401763916016"
NC35,small_airport,Spencer Airport,755,NA,US,US-NC,Concord,NC35,,NC35,"-80.62200164794922, 35.40290069580078"
NC37,small_airport,Mountain View Aerodrome,800,NA,US,US-NC,Reidsville,NC37,,NC37,"-79.84110260009766, 36.3400993347168"
NC39,small_airport,Enochville Airport,789,NA,US,US-NC,Kannapolis,NC39,,NC39,"-80.64779663085938, 35.52429962158203"
NC40,small_airport,Holeman Field,578,NA,US,US-NC,Roxboro,NC40,,NC40,"-79.11859893798828, 36.499698638916016"
NC42,small_airport,Piney Ridge Airport,960,NA,US,US-NC,Yadkinville,NC42,,NC42,"-80.69979858398438, 36.07210159301758"
NC43,small_airport,Bear Pen Airport,63,NA,US,US-NC,Supply,NC43,,NC43,"-78.33809661865234, 34.12519836425781"
NC44,small_airport,Barclaysville Field,300,NA,US,US-NC,Angier,NC44,,NC44,"-78.68389892578125, 35.46689987182617"
NC45,small_airport,Enfield-Shearin Airport,125,NA,US,US-NC,Enfield,NC45,,NC45,"-77.63749694824219, 36.217201232910156"
NC47,small_airport,South Oaks Aerodrome,50,NA,US,US-NC,Winterville,,,05N,"-77.355904, 35.482164"
NC48,small_airport,Safe Field,50,NA,US,US-NC,Wallace,NC48,,NC48,"-78.05999755859375, 34.75019836425781"
NC49,small_airport,Boyd Field,50,NA,US,US-NC,Grimesland,NC49,,NC49,"-77.19670104980469, 35.527801513671875"
NC50,small_airport,Skyland Airport,2860,NA,US,US-NC,Jefferson,NC50,,NC50,"-81.36150360107422, 36.46009826660156"
NC52,small_airport,Silver Creek Airport,1020,NA,US,US-NC,Morganton,NC52,,NC52,"-81.72899627685547, 35.72850036621094"
NC54,small_airport,Jackson Private Airport,10,NA,US,US-NC,Atlantic,NC54,,NC54,"-76.35659790039062, 34.87770080566406"
NC56,small_airport,Deer Run Airport,405,NA,US,US-NC,Kittrell,NC56,,NC56,"-78.46890258789062, 36.2047004699707"
NC58,small_airport,Gryder-Teague Airport,1190,NA,US,US-NC,Taylorsville,NC58,,NC58,"-81.12010192871094, 35.92100143432617"
NC59,small_airport,Alexander County Airport,1110,NA,US,US-NC,Taylorsville,NC59,,NC59,"-81.14399719238281, 35.85070037841797"
NC63,small_airport,Robertson Field,848,NA,US,US-NC,Winston Salem,NC63,,NC63,"-80.18479919433594, 36.135101318359375"
NC64,small_airport,Barringer Field,800,NA,US,US-NC,Kannapolis,NC64,,NC64,"-80.69670104980469, 35.527801513671875"
NC65,small_airport,Yonder Airport,35,NA,US,US-NC,Atkinson,NC65,,NC65,"-78.26809692382812, 34.559600830078125"
NC66,small_airport,Ventosa Plantation Airport,30,NA,US,US-NC,Scotland Neck,NC66,,NC66,"-77.2957992553711, 36.13130187988281"
